#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.978806e-02       8.317496e-04       7.883012e-03       1.707359e-01       5.180538e-03       4.525440e-02
         100       1.926932e-02       1.034869e-04       7.426282e-03       1.814724e-01       8.363889e-03       4.557150e-02
         200       1.913352e-02       1.028970e-03       7.635429e-03       1.245864e-01       3.306319e-03       4.204310e-02
         300       2.244860e-02       4.211734e-04       8.707792e-03       1.773104e-01       8.740039e-03       4.383924e-02
         400       2.459450e-02       2.907314e-04       9.304579e-03       1.226979e-01       5.407751e-03       4.349668e-02
         500       2.425770e-02       3.731134e-04       8.836952e-03       1.908880e-01       6.724112e-03       4.397681e-02
         600       2.463908e-02       1.349619e-03       9.433946e-03       1.682084e-01       8.156761e-03       4.514315e-02
         700       2.080134e-02       8.250377e-04       8.836397e-03       1.948794e-01       7.401247e-03       4.408221e-02
         800       1.690096e-02       6.900712e-04       6.749555e-03       1.628763e-01       8.071058e-03       4.485957e-02
         900       1.810149e-02       3.216567e-04       7.399248e-03       2.154133e-01       5.767953e-03       4.440287e-02
        1000       1.837259e-02       2.623469e-04       7.671280e-03       1.698405e-01       5.278921e-03       4.428642e-02
        1100       2.253989e-02       4.990102e-04       7.967205e-03       1.734768e-01       5.308647e-03       4.585643e-02
        1200       1.916092e-02       3.538548e-04       7.301513e-03       1.575781e-01       8.204318e-03       4.495434e-02
        1300       2.071589e-02       8.692743e-04       8.089044e-03       1.432145e-01       7.918812e-03       4.336481e-02
        1400       2.346401e-02       5.512178e-04       8.293974e-03       1.427706e-01       7.664619e-03       4.644700e-02
        1500       2.309298e-02       3.841283e-04       8.344034e-03       1.366395e-01       7.123673e-03       4.298487e-02
        1600       2.229218e-02       8.388884e-04       7.883298e-03       1.438370e-01       6.789095e-03       4.359200e-02
        1700       2.262151e-02       3.801817e-04       8.255745e-03       1.898029e-01       7.111642e-03       4.413254e-02
        1800       2.081564e-02       1.120090e-03       7.711498e-03       1.256202e-01       6.422747e-03       4.255977e-02
        1900       2.296912e-02       8.153421e-04       8.022393e-03       1.667454e-01       6.771871e-03       4.307506e-02
        2000       1.955697e-02       2.915188e-04       7.553187e-03       1.684744e-01       7.770317e-03       4.278712e-02
