#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.52e+01      2.21e-01      7.97e-01    5.0e-03
    100      1.75e+01      5.16e-01      5.53e-01    5.0e-03
    200      1.57e+01      3.37e-01      4.95e-01    5.0e-03
    300      8.69e+00      1.87e-01      2.74e-01    5.0e-03
    400      1.86e+01      1.55e-01      5.87e-01    5.0e-03
    500      1.33e+01      2.79e-01      4.21e-01    5.0e-03
    600      1.04e+01      8.24e-03      3.28e-01    5.0e-03
    700      8.95e+00      1.07e-01      2.83e-01    5.0e-03
    800      1.16e+01      4.75e-02      3.66e-01    5.0e-03
    900      9.38e+00      5.23e-02      2.97e-01    5.0e-03
   1000      6.17e+00      3.44e-03      1.95e-01    5.0e-03
   1100      9.48e+00      3.54e-02      3.00e-01    5.0e-03
   1200      6.23e+00      1.75e-01      1.97e-01    5.0e-03
   1300      4.94e+00      9.88e-02      1.56e-01    5.0e-03
   1400      1.02e+01      8.94e-02      3.24e-01    5.0e-03
   1500      7.29e+00      1.27e-01      2.30e-01    5.0e-03
   1600      1.48e+01      3.61e-01      4.69e-01    5.0e-03
   1700      8.39e+00      8.76e-02      2.65e-01    5.0e-03
   1800      5.93e+00      2.88e-01      1.87e-01    5.0e-03
   1900      1.03e+01      1.65e-02      3.25e-01    5.0e-03
   2000      9.89e+00      6.61e-02      3.13e-01    5.0e-03
   2100      9.17e+00      3.38e-02      2.90e-01    5.0e-03
   2200      8.92e+00      1.99e-01      2.81e-01    5.0e-03
   2300      1.05e+01      3.35e-02      3.31e-01    5.0e-03
   2400      8.75e+00      3.21e-02      2.77e-01    5.0e-03
   2500      1.20e+01      2.97e-01      3.80e-01    5.0e-03
   2600      8.96e+00      9.69e-02      2.83e-01    5.0e-03
   2700      1.08e+01      1.14e-01      3.41e-01    5.0e-03
   2800      4.32e+00      1.48e-03      1.37e-01    5.0e-03
   2900      1.02e+01      2.45e-02      3.24e-01    5.0e-03
   3000      8.58e+00      4.09e-02      2.71e-01    5.0e-03
   3100      1.28e+01      8.73e-02      4.06e-01    5.0e-03
   3200      1.31e+01      1.06e-01      4.13e-01    5.0e-03
   3300      1.14e+01      1.89e-01      3.61e-01    5.0e-03
   3400      8.54e+00      2.41e-02      2.70e-01    5.0e-03
   3500      1.04e+01      1.76e-01      3.29e-01    5.0e-03
   3600      9.26e+00      3.45e-02      2.93e-01    5.0e-03
   3700      8.74e+00      8.04e-02      2.76e-01    5.0e-03
   3800      1.48e+01      7.51e-03      4.69e-01    5.0e-03
   3900      8.10e+00      2.52e-01      2.55e-01    5.0e-03
   4000      9.10e+00      1.01e-01      2.88e-01    5.0e-03
   4100      9.06e+00      5.46e-02      2.87e-01    5.0e-03
   4200      8.38e+00      7.83e-03      2.65e-01    5.0e-03
   4300      5.87e+00      9.52e-03      1.86e-01    5.0e-03
   4400      9.37e+00      1.39e-01      2.96e-01    5.0e-03
   4500      1.01e+01      1.30e-01      3.19e-01    5.0e-03
   4600      9.47e+00      1.26e-01      2.99e-01    5.0e-03
   4700      8.95e+00      1.72e-01      2.83e-01    5.0e-03
   4800      9.39e+00      4.63e-02      2.97e-01    5.0e-03
   4900      9.56e+00      2.10e-01      3.02e-01    5.0e-03
   5000      7.27e+00      7.33e-02      2.35e-01    4.7e-03
   5100      7.95e+00      5.94e-02      2.57e-01    4.7e-03
   5200      9.72e+00      2.52e-02      3.15e-01    4.7e-03
   5300      8.33e+00      4.96e-02      2.69e-01    4.7e-03
   5400      7.66e+00      2.79e-02      2.48e-01    4.7e-03
   5500      5.37e+00      3.07e-02      1.74e-01    4.7e-03
   5600      4.35e+00      5.40e-02      1.40e-01    4.7e-03
   5700      8.64e+00      1.35e-01      2.74e-01    4.7e-03
   5800      7.35e+00      9.29e-02      2.37e-01    4.7e-03
   5900      8.95e+00      1.29e-01      2.85e-01    4.7e-03
   6000      9.08e+00      1.49e-02      2.94e-01    4.7e-03
   6100      9.11e+00      2.99e-02      2.95e-01    4.7e-03
   6200      8.04e+00      1.64e-01      2.51e-01    4.7e-03
   6300      1.13e+01      1.44e-01      3.60e-01    4.7e-03
   6400      8.96e+00      8.30e-02      2.88e-01    4.7e-03
   6500      9.20e+00      3.21e-02      2.98e-01    4.7e-03
   6600      8.69e+00      2.46e-02      2.82e-01    4.7e-03
   6700      6.65e+00      1.40e-02      2.16e-01    4.7e-03
   6800      9.43e+00      4.17e-02      3.05e-01    4.7e-03
   6900      8.52e+00      1.46e-03      2.76e-01    4.7e-03
   7000      4.21e+00      7.99e-03      1.36e-01    4.7e-03
   7100      8.68e+00      2.99e-02      2.81e-01    4.7e-03
   7200      7.86e+00      3.64e-02      2.54e-01    4.7e-03
   7300      7.85e+00      2.40e-02      2.55e-01    4.7e-03
   7400      9.74e+00      1.82e-02      3.16e-01    4.7e-03
   7500      7.42e+00      7.32e-02      2.39e-01    4.7e-03
   7600      1.06e+01      1.22e-01      3.40e-01    4.7e-03
   7700      5.06e+00      1.97e-01      1.54e-01    4.7e-03
   7800      5.33e+00      2.35e-01      1.59e-01    4.7e-03
   7900      8.34e+00      2.17e-02      2.71e-01    4.7e-03
   8000      1.42e+01      2.46e-01      4.50e-01    4.7e-03
   8100      1.80e+01      2.89e-01      5.72e-01    4.7e-03
   8200      1.65e+01      9.13e-02      5.35e-01    4.7e-03
   8300      2.04e+01      6.52e-02      6.62e-01    4.7e-03
   8400      1.26e+01      3.42e-02      4.09e-01    4.7e-03
   8500      9.86e+00      4.03e-02      3.20e-01    4.7e-03
   8600      1.15e+01      1.00e-01      3.71e-01    4.7e-03
   8700      1.36e+01      9.71e-02      4.39e-01    4.7e-03
   8800      1.11e+01      3.58e-02      3.61e-01    4.7e-03
   8900      1.28e+01      4.53e-02      4.16e-01    4.7e-03
   9000      1.14e+01      3.41e-02      3.70e-01    4.7e-03
   9100      1.31e+01      8.95e-02      4.24e-01    4.7e-03
   9200      1.03e+01      3.46e-02      3.33e-01    4.7e-03
   9300      9.46e+00      4.94e-02      3.06e-01    4.7e-03
   9400      8.79e+00      4.12e-02      2.85e-01    4.7e-03
   9500      4.67e+00      3.76e-02      1.51e-01    4.7e-03
   9600      8.53e+00      3.09e-02      2.76e-01    4.7e-03
   9700      1.08e+01      9.79e-02      3.49e-01    4.7e-03
   9800      5.16e+00      7.73e-02      1.66e-01    4.7e-03
   9900      9.34e+00      7.93e-02      3.01e-01    4.7e-03
  10000      8.15e+00      3.53e-02      2.70e-01    4.5e-03
  10100      1.36e+01      1.02e-01      4.50e-01    4.5e-03
  10200      5.45e+00      3.92e-02      1.81e-01    4.5e-03
  10300      8.39e+00      2.62e-02      2.79e-01    4.5e-03
  10400      7.38e+00      4.64e-04      2.46e-01    4.5e-03
  10500      8.09e+00      4.47e-02      2.68e-01    4.5e-03
  10600      7.52e+00      3.65e-02      2.49e-01    4.5e-03
  10700      9.07e+00      3.14e-03      3.02e-01    4.5e-03
  10800      7.60e+00      8.39e-03      2.53e-01    4.5e-03
  10900      7.73e+00      6.53e-02      2.54e-01    4.5e-03
  11000      7.87e+00      4.67e-03      2.62e-01    4.5e-03
  11100      7.21e+00      1.84e-02      2.40e-01    4.5e-03
  11200      8.15e+00      3.92e-02      2.70e-01    4.5e-03
  11300      8.02e+00      1.86e-02      2.67e-01    4.5e-03
  11400      7.33e+00      2.72e-02      2.43e-01    4.5e-03
  11500      9.27e+00      2.28e-02      3.08e-01    4.5e-03
  11600      6.59e+00      1.97e-02      2.19e-01    4.5e-03
  11700      3.67e+00      2.58e-02      1.22e-01    4.5e-03
  11800      7.97e+00      3.43e-02      2.64e-01    4.5e-03
  11900      8.15e+00      6.60e-02      2.68e-01    4.5e-03
  12000      7.74e+00      5.82e-03      2.58e-01    4.5e-03
  12100      1.07e+01      2.66e-02      3.55e-01    4.5e-03
  12200      9.80e+00      4.49e-02      3.25e-01    4.5e-03
  12300      1.12e+01      6.33e-02      3.72e-01    4.5e-03
  12400      8.55e+00      5.86e-02      2.82e-01    4.5e-03
  12500      4.59e+00      5.18e-02      1.51e-01    4.5e-03
  12600      5.20e+00      3.02e-02      1.73e-01    4.5e-03
  12700      1.15e+01      1.18e-01      3.77e-01    4.5e-03
  12800      9.70e+00      3.87e-02      3.22e-01    4.5e-03
  12900      8.64e+00      5.52e-02      2.85e-01    4.5e-03
  13000      4.27e+00      8.80e-03      1.42e-01    4.5e-03
  13100      4.00e+00      1.79e-02      1.33e-01    4.5e-03
  13200      1.08e+01      2.20e-02      3.59e-01    4.5e-03
  13300      7.72e+00      1.61e-02      2.57e-01    4.5e-03
  13400      4.41e+00      1.84e-02      1.46e-01    4.5e-03
  13500      5.37e+00      3.83e-02      1.78e-01    4.5e-03
  13600      7.82e+00      6.34e-02      2.58e-01    4.5e-03
  13700      7.02e+00      5.81e-02      2.31e-01    4.5e-03
  13800      7.26e+00      8.90e-03      2.42e-01    4.5e-03
  13900      7.35e+00      1.71e-02      2.45e-01    4.5e-03
  14000      7.94e+00      6.01e-02      2.62e-01    4.5e-03
  14100      6.85e+00      1.25e-01      2.22e-01    4.5e-03
  14200      7.50e+00      9.47e-03      2.50e-01    4.5e-03
  14300      7.55e+00      1.12e-02      2.51e-01    4.5e-03
  14400      7.78e+00      3.28e-02      2.58e-01    4.5e-03
  14500      4.35e+00      8.30e-03      1.45e-01    4.5e-03
  14600      7.51e+00      4.35e-02      2.49e-01    4.5e-03
  14700      7.79e+00      2.35e-02      2.59e-01    4.5e-03
  14800      7.65e+00      7.14e-02      2.51e-01    4.5e-03
  14900      7.73e+00      6.84e-02      2.54e-01    4.5e-03
  15000      1.29e+01      1.66e-03      4.41e-01    4.3e-03
  15100      7.98e+00      8.80e-02      2.64e-01    4.3e-03
  15200      6.92e+00      1.72e-02      2.36e-01    4.3e-03
  15300      9.16e+00      7.15e-02      3.08e-01    4.3e-03
  15400      8.85e+00      1.43e-02      3.02e-01    4.3e-03
  15500      1.28e+01      6.49e-02      4.37e-01    4.3e-03
  15600      7.97e+00      2.75e-02      2.71e-01    4.3e-03
  15700      7.36e+00      2.06e-02      2.51e-01    4.3e-03
  15800      7.32e+00      1.04e-02      2.50e-01    4.3e-03
  15900      4.14e+00      5.47e-03      1.42e-01    4.3e-03
  16000      7.12e+00      6.33e-03      2.43e-01    4.3e-03
  16100      7.18e+00      1.36e-02      2.45e-01    4.3e-03
  16200      4.91e+00      5.85e-02      1.65e-01    4.3e-03
  16300      8.70e+00      1.16e-02      2.97e-01    4.3e-03
  16400      1.00e+01      5.63e-02      3.40e-01    4.3e-03
  16500      7.45e+00      5.24e-02      2.53e-01    4.3e-03
  16600      5.42e+00      8.19e-02      1.80e-01    4.3e-03
  16700      8.90e+00      5.09e-02      3.01e-01    4.3e-03
  16800      7.27e+00      1.65e-03      2.48e-01    4.3e-03
  16900      3.85e+00      9.06e-02      1.23e-01    4.3e-03
  17000      9.17e+00      1.03e-01      3.03e-01    4.3e-03
  17100      7.43e+00      5.98e-02      2.50e-01    4.3e-03
  17200      3.49e+00      8.08e-02      1.12e-01    4.3e-03
  17300      4.95e+00      1.60e-01      1.48e-01    4.3e-03
  17400      7.60e+00      9.51e-03      2.60e-01    4.3e-03
  17500      6.95e+00      6.81e-03      2.37e-01    4.3e-03
  17600      7.86e+00      1.24e-02      2.68e-01    4.3e-03
  17700      4.23e+00      4.21e-02      1.43e-01    4.3e-03
  17800      7.31e+00      5.45e-03      2.50e-01    4.3e-03
  17900      7.15e+00      2.64e-02      2.43e-01    4.3e-03
  18000      4.40e+00      3.23e-02      1.49e-01    4.3e-03
  18100      7.92e+00      5.06e-03      2.70e-01    4.3e-03
  18200      8.10e+00      1.47e-02      2.76e-01    4.3e-03
  18300      8.18e+00      8.71e-02      2.71e-01    4.3e-03
  18400      6.41e+00      2.70e-01      1.70e-01    4.3e-03
  18500      1.04e+01      2.02e-02      3.54e-01    4.3e-03
  18600      9.24e+00      2.60e-02      3.15e-01    4.3e-03
  18700      5.13e+00      2.11e-02      1.75e-01    4.3e-03
  18800      6.75e+00      2.86e-02      2.29e-01    4.3e-03
  18900      7.68e+00      2.74e-02      2.61e-01    4.3e-03
  19000      8.14e+00      4.37e-02      2.76e-01    4.3e-03
  19100      1.12e+01      9.02e-03      3.83e-01    4.3e-03
  19200      5.29e+00      4.07e-02      1.80e-01    4.3e-03
  19300      6.69e+00      1.89e-02      2.28e-01    4.3e-03
  19400      7.58e+00      3.04e-02      2.58e-01    4.3e-03
  19500      3.97e+00      4.00e-02      1.34e-01    4.3e-03
  19600      6.63e+00      2.34e-02      2.26e-01    4.3e-03
  19700      7.42e+00      3.54e-02      2.52e-01    4.3e-03
  19800      6.22e+00      9.04e-03      2.12e-01    4.3e-03
  19900      6.47e+00      1.68e-02      2.21e-01    4.3e-03
  20000      9.56e+00      1.10e-01      3.20e-01    4.1e-03
  20100      6.89e+00      1.95e-02      2.41e-01    4.1e-03
  20200      3.94e+00      4.16e-02      1.36e-01    4.1e-03
  20300      4.27e+00      7.38e-03      1.49e-01    4.1e-03
  20400      7.15e+00      1.73e-02      2.50e-01    4.1e-03
  20500      7.23e+00      4.94e-02      2.49e-01    4.1e-03
  20600      4.67e+00      9.55e-02      1.53e-01    4.1e-03
  20700      7.44e+00      8.46e-03      2.61e-01    4.1e-03
  20800      7.48e+00      9.72e-03      2.62e-01    4.1e-03
  20900      8.98e+00      6.97e-02      3.09e-01    4.1e-03
  21000      7.36e+00      3.38e-02      2.56e-01    4.1e-03
  21100      8.87e+00      5.10e-02      3.08e-01    4.1e-03
  21200      4.24e+00      3.36e-03      1.49e-01    4.1e-03
  21300      9.30e+00      2.51e-02      3.25e-01    4.1e-03
  21400      3.75e+00      2.09e-02      1.31e-01    4.1e-03
  21500      4.44e+00      2.81e-03      1.55e-01    4.1e-03
  21600      8.35e+00      7.87e-03      2.92e-01    4.1e-03
  21700      3.88e+00      2.67e-02      1.35e-01    4.1e-03
  21800      6.76e+00      1.31e-02      2.36e-01    4.1e-03
  21900      6.50e+00      1.88e-02      2.27e-01    4.1e-03
  22000      7.55e+00      5.33e-03      2.65e-01    4.1e-03
  22100      5.29e+00      1.46e-01      1.64e-01    4.1e-03
  22200      7.33e+00      3.53e-02      2.55e-01    4.1e-03
  22300      6.66e+00      1.44e-02      2.33e-01    4.1e-03
  22400      7.91e+00      1.02e-01      2.62e-01    4.1e-03
  22500      6.43e+00      1.19e-03      2.25e-01    4.1e-03
  22600      7.01e+00      3.51e-03      2.46e-01    4.1e-03
  22700      3.53e+00      1.29e-03      1.24e-01    4.1e-03
  22800      7.51e+00      6.37e-02      2.57e-01    4.1e-03
  22900      1.30e+01      1.16e-01      4.44e-01    4.1e-03
  23000      3.47e+00      2.30e-02      1.21e-01    4.1e-03
  23100      7.72e+00      1.73e-02      2.70e-01    4.1e-03
  23200      7.36e+00      3.10e-02      2.56e-01    4.1e-03
  23300      3.36e+00      6.71e-03      1.18e-01    4.1e-03
  23400      7.43e+00      3.63e-02      2.58e-01    4.1e-03
  23500      4.80e+00      4.87e-02      1.66e-01    4.1e-03
  23600      9.53e+00      3.82e-02      3.32e-01    4.1e-03
  23700      3.94e+00      1.75e-02      1.38e-01    4.1e-03
  23800      7.32e+00      2.90e-02      2.55e-01    4.1e-03
  23900      5.43e+00      2.13e-02      1.90e-01    4.1e-03
  24000      7.17e+00      9.31e-03      2.51e-01    4.1e-03
  24100      7.91e+00      5.88e-02      2.72e-01    4.1e-03
  24200      6.03e+00      2.63e-02      2.11e-01    4.1e-03
  24300      4.50e+00      9.52e-02      1.47e-01    4.1e-03
  24400      7.77e+00      2.44e-03      2.72e-01    4.1e-03
  24500      7.66e+00      3.11e-02      2.67e-01    4.1e-03
  24600      4.04e+00      4.87e-02      1.38e-01    4.1e-03
  24700      3.92e+00      1.08e-02      1.37e-01    4.1e-03
  24800      6.87e+00      4.44e-02      2.37e-01    4.1e-03
  24900      4.57e+00      1.33e-01      1.39e-01    4.1e-03
  25000      7.02e+00      8.99e-04      2.52e-01    3.9e-03
  25100      6.55e+00      2.60e-02      2.34e-01    3.9e-03
  25200      3.21e+00      4.86e-02      1.10e-01    3.9e-03
  25300      8.58e+00      1.49e-01      2.70e-01    3.9e-03
  25400      6.84e+00      3.10e-04      2.46e-01    3.9e-03
  25500      3.02e+00      2.36e-02      1.08e-01    3.9e-03
  25600      6.55e+00      3.19e-02      2.33e-01    3.9e-03
  25700      8.17e+00      7.59e-02      2.84e-01    3.9e-03
  25800      5.66e+00      8.33e-03      2.03e-01    3.9e-03
  25900      6.35e+00      3.62e-03      2.28e-01    3.9e-03
  26000      6.14e+00      9.05e-03      2.21e-01    3.9e-03
  26100      3.40e+00      2.34e-02      1.21e-01    3.9e-03
  26200      6.75e+00      5.63e-03      2.43e-01    3.9e-03
  26300      6.46e+00      7.40e-04      2.32e-01    3.9e-03
  26400      7.73e+00      3.99e-02      2.75e-01    3.9e-03
  26500      7.27e+00      8.98e-02      2.46e-01    3.9e-03
  26600      6.84e+00      8.12e-03      2.46e-01    3.9e-03
  26700      1.16e+01      3.93e-02      4.16e-01    3.9e-03
  26800      7.50e+00      7.55e-02      2.59e-01    3.9e-03
  26900      7.79e+00      5.89e-02      2.74e-01    3.9e-03
  27000      5.47e+00      2.09e-02      1.96e-01    3.9e-03
  27100      6.63e+00      9.92e-03      2.38e-01    3.9e-03
  27200      7.57e+00      1.04e-02      2.72e-01    3.9e-03
  27300      3.10e+00      2.36e-03      1.11e-01    3.9e-03
  27400      6.87e+00      3.61e-03      2.47e-01    3.9e-03
  27500      1.14e+01      1.86e-01      3.63e-01    3.9e-03
  27600      6.62e+00      3.02e-02      2.36e-01    3.9e-03
  27700      3.15e+00      1.25e-02      1.13e-01    3.9e-03
  27800      8.61e+00      3.89e-01      1.65e-01    3.9e-03
  27900      1.09e+01      4.75e-02      3.92e-01    3.9e-03
  28000      4.35e+00      1.66e-02      1.56e-01    3.9e-03
  28100      3.39e+00      7.47e-03      1.22e-01    3.9e-03
  28200      6.25e+00      3.42e-03      2.24e-01    3.9e-03
  28300      6.61e+00      8.81e-03      2.37e-01    3.9e-03
  28400      6.50e+00      2.05e-02      2.33e-01    3.9e-03
  28500      6.72e+00      4.29e-03      2.42e-01    3.9e-03
  28600      2.99e+00      3.16e-03      1.07e-01    3.9e-03
  28700      6.30e+00      1.56e-02      2.26e-01    3.9e-03
  28800      6.37e+00      6.40e-03      2.29e-01    3.9e-03
  28900      7.12e+00      7.23e-02      2.45e-01    3.9e-03
  29000      1.16e+01      4.82e-02      4.16e-01    3.9e-03
  29100      6.56e+00      2.48e-04      2.36e-01    3.9e-03
  29200      6.83e+00      2.28e-02      2.44e-01    3.9e-03
  29300      7.47e+00      1.01e-01      2.49e-01    3.9e-03
  29400      8.55e+00      3.79e-03      3.07e-01    3.9e-03
  29500      7.36e+00      2.06e-03      2.65e-01    3.9e-03
  29600      1.71e+01      3.24e-02      6.13e-01    3.9e-03
  29700      8.38e+00      2.18e-03      3.01e-01    3.9e-03
  29800      6.85e+00      1.21e-02      2.46e-01    3.9e-03
  29900      5.81e+00      1.71e-01      1.74e-01    3.9e-03
  30000      6.88e+00      3.23e-02      2.51e-01    3.7e-03
  30100      7.10e+00      7.00e-02      2.50e-01    3.7e-03
  30200      6.20e+00      8.80e-02      2.19e-01    3.7e-03
  30300      6.89e+00      1.97e-02      2.53e-01    3.7e-03
  30400      7.61e+00      4.81e-02      2.75e-01    3.7e-03
  30500      7.60e+00      1.35e-03      2.80e-01    3.7e-03
  30600      6.16e+00      9.30e-03      2.27e-01    3.7e-03
  30700      6.95e+00      4.52e-03      2.56e-01    3.7e-03
  30800      3.48e+00      7.89e-03      1.28e-01    3.7e-03
  30900      5.94e+00      1.37e-02      2.18e-01    3.7e-03
  31000      6.82e+00      3.24e-03      2.52e-01    3.7e-03
  31100      7.41e+00      8.35e-03      2.73e-01    3.7e-03
  31200      9.57e+00      3.25e-02      3.51e-01    3.7e-03
  31300      6.32e+00      2.32e-02      2.32e-01    3.7e-03
